Hora,ADC
16:40:56.757,8208
16:40:56.796,8123
16:40:56.838,7995
16:40:56.877,8042
16:40:56.918,8164
16:40:56.958,8181
16:40:57.000,8204
16:40:57.037,8171
16:40:57.076,8001
16:40:57.117,8019
16:40:57.157,8120
16:40:57.197,8158
16:40:57.237,8150
16:40:57.276,8237
16:40:57.317,8264
16:40:57.356,8360
16:40:57.396,8514
16:40:57.438,8452
16:40:57.476,8390
16:40:57.516,8357
16:40:57.556,8383
16:40:57.597,8240
16:40:57.638,8044
16:40:57.675,7886
16:40:57.716,7881
16:40:57.756,7909
16:40:57.796,7985
16:40:57.836,7895
16:40:57.876,7880
16:40:57.916,7786
16:40:57.956,7736
16:40:57.996,7864
16:40:58.036,7968
16:40:58.079,7832
16:40:58.117,7928
16:40:58.156,8134
16:40:58.196,8200
16:40:58.236,8055
16:40:58.276,8036
16:40:58.316,8032
16:40:58.357,8111
16:40:58.397,8168
16:40:58.436,8166
16:40:58.476,8113
16:40:58.516,8104
16:40:58.557,8193
16:40:58.597,8151
16:40:58.636,7969
16:40:58.675,7867
16:40:58.715,7719
16:40:58.757,7787
16:40:58.797,7950
16:40:58.838,8054
16:40:58.876,8105
16:40:58.915,8164
16:40:58.955,8168
16:40:58.995,8155
16:40:59.036,8117
16:40:59.076,8110
16:40:59.116,8074
16:40:59.155,8224
16:40:59.196,8303
16:40:59.236,8246
16:40:59.276,8174
16:40:59.316,8105
16:40:59.356,8244
16:40:59.396,8321
16:40:59.436,8286
16:40:59.476,8208
16:40:59.516,8084
16:40:59.556,8040
16:40:59.596,7915
16:40:59.635,7918
16:40:59.675,7987
16:40:59.716,7978
16:40:59.756,7977
16:40:59.795,8077
16:40:59.835,8069
16:40:59.876,7991
16:40:59.915,8001
16:40:59.957,8130
16:40:59.997,8262
16:41:00.037,8280
16:41:00.076,8197
16:41:00.115,8212
16:41:00.156,8204
16:41:00.197,8258
16:41:00.237,8297
16:41:00.276,8222
16:41:00.316,8198
16:41:00.356,8224
16:41:00.395,8278
16:41:00.437,8150
16:41:00.476,7867
16:41:00.516,7853
16:41:00.557,7994
16:41:00.596,8011
16:41:00.635,8001
16:41:00.676,7929
16:41:00.718,7982
16:41:00.756,8067
16:41:00.796,8146
16:41:00.836,8212
16:41:00.876,8218
16:41:00.918,8080
16:41:00.956,8185
16:41:00.996,8289
16:41:01.035,8321
16:41:01.075,8213
16:41:01.116,8152
16:41:01.156,8259
16:41:01.196,8341
16:41:01.236,8295
16:41:01.276,8230
16:41:01.316,8111
16:41:01.357,8084
16:41:01.396,7985
16:41:01.436,7998
16:41:01.476,7930
16:41:01.515,7813
16:41:01.556,7840
16:41:01.598,7945
16:41:01.637,8011
16:41:01.676,8023
16:41:01.716,7884
16:41:01.755,7922
16:41:01.797,7967
16:41:01.837,7983
16:41:01.876,7942
16:41:01.916,7895
16:41:01.956,8045
16:41:01.996,8139
16:41:02.037,8134
16:41:02.076,8126
16:41:02.115,8068
16:41:02.155,8010
16:41:02.196,8073
16:41:02.237,7744
16:41:02.277,7412
16:41:02.316,7224
16:41:02.355,7285
16:41:02.396,7522
16:41:02.437,7666
16:41:02.479,7743
16:41:02.520,7712
16:41:02.559,7657
16:41:02.598,7664
16:41:02.638,7663
16:41:02.678,7435
16:41:02.718,7682
16:41:02.758,7704
16:41:02.801,7864
16:41:02.839,7856
16:41:02.879,7826
16:41:02.918,7834
16:41:02.957,7883
16:41:02.997,7809
16:41:03.035,7865
16:41:03.075,7828
16:41:03.116,7818
16:41:03.157,7766
16:41:03.198,7706
16:41:03.236,7656
16:41:03.275,7444
16:41:03.315,7300
16:41:03.354,7389
16:41:03.396,7566
16:41:03.437,7622
16:41:03.476,7521
16:41:03.515,7426
16:41:03.556,7486
16:41:03.597,7612
16:41:03.636,7629
16:41:03.676,7633
16:41:03.716,7590
16:41:03.757,7635
16:41:03.796,7662
16:41:03.837,7689
16:41:03.879,7692
16:41:03.918,7672
16:41:03.958,7718
16:41:03.999,7786
16:41:04.037,7836
16:41:04.077,7848
16:41:04.120,7714
16:41:04.157,7510
16:41:04.197,7490
16:41:04.238,7569
16:41:04.277,7552
16:41:04.319,7509
16:41:04.358,7534
16:41:04.397,7647
16:41:04.438,7696
16:41:04.478,7674
16:41:04.516,7617
16:41:04.558,7562
16:41:04.598,7615
16:41:04.637,7688
16:41:04.677,7664
16:41:04.717,7523
16:41:04.756,7573
16:41:04.798,7640
16:41:04.839,7708
16:41:04.877,7777
16:41:04.918,7661
16:41:04.959,7637
16:41:04.996,7698
16:41:05.039,7745
16:41:05.077,7650
16:41:05.116,7536
16:41:05.156,7501
16:41:05.196,7527
16:41:05.237,7655
16:41:05.277,7649
16:41:05.316,7557
16:41:05.355,7502
16:41:05.396,7510
16:41:05.436,7683
16:41:05.477,7646
16:41:05.517,7585
16:41:05.556,7584
16:41:05.597,7623
16:41:05.636,7702
16:41:05.676,7671
16:41:05.717,7525
16:41:05.756,7489
16:41:05.796,7606
16:41:05.836,7675
16:41:05.876,7668
16:41:05.916,7599
16:41:05.956,7488
16:41:05.995,7538
16:41:06.036,7611
16:41:06.076,7610
16:41:06.116,7518
16:41:06.157,7471
16:41:06.196,7623
16:41:06.236,7637
16:41:06.275,7612
16:41:06.315,7570
16:41:06.357,7505
16:41:06.396,7601
16:41:06.435,7680
16:41:06.476,7693
16:41:06.517,7591
16:41:06.556,7599
16:41:06.597,7642
16:41:06.638,7713
16:41:06.676,7744
16:41:06.716,7657
16:41:06.756,7652
16:41:06.796,7760
16:41:06.837,7817
16:41:06.877,7778
16:41:06.916,7698
16:41:06.955,7700
16:41:06.995,7616
16:41:07.036,7713
16:41:07.077,7723
16:41:07.117,7613
16:41:07.155,7464
16:41:07.196,7410
16:41:07.235,7434
16:41:07.276,7546
16:41:07.317,7544
16:41:07.356,7522
16:41:07.396,7612
16:41:07.436,7714
16:41:07.475,7690
16:41:07.517,7743
16:41:07.557,7747
16:41:07.595,7804
16:41:07.636,7932
16:41:07.675,7873
16:41:07.716,7851
16:41:07.756,7754
16:41:07.797,7745
16:41:07.836,7810
16:41:07.875,7777
16:41:07.916,7730
16:41:07.956,7696
16:41:07.997,7755
16:41:08.036,7835
16:41:08.076,7852
16:41:08.116,7903
16:41:08.157,7790
16:41:08.198,7775
16:41:08.237,7846
16:41:08.276,7961
16:41:08.316,7875
16:41:08.356,7810
16:41:08.395,7799
16:41:08.437,7881
16:41:08.476,7959
16:41:08.515,7874
16:41:08.556,7848
16:41:08.596,7872
16:41:08.636,8024
16:41:08.676,7980
16:41:08.716,7969
16:41:08.755,7900
16:41:08.796,7839
16:41:08.837,7963
16:41:08.876,7971
16:41:08.916,7976
16:41:08.956,7910
16:41:08.996,7880
16:41:09.036,7966
16:41:09.076,7957
16:41:09.116,7733
16:41:09.156,7629
16:41:09.196,7614
16:41:09.236,7663
16:41:09.275,7666
16:41:09.320,7586
